trial_type,trial_index,time_elapsed,exp_name,date,time,angle_mean_in,radius_mean_in,angle_sd_in,radius_sd_in,angle_min_out,angle_max_out,radius_min_out,radius_max_out,sub_n,age,race,ethnicity,gender,exp_duration,rt,response,exp_trial_type,screen_id,angle,radius,distribution,choice,correct
canvas-keyboard-response,489,3862560,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,733,u,learn,learn_trial,23.3333,80,out,1,0
canvas-keyboard-response,494,3866114,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1444,u,learn,learn_trial,23.3473,82.5112,in,1,1
canvas-keyboard-response,499,3868393,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,677,i,learn,learn_trial,13.3333,90,out,0,1
canvas-keyboard-response,504,3870665,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,672,i,learn,learn_trial,33.3333,110,out,0,1
canvas-keyboard-response,509,3873608,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1341,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,514,3876513,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1303,i,learn,learn_trial,27.8087,71.8376,in,0,0
canvas-keyboard-response,519,3879472,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,853,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,524,3881721,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,646,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,529,3884088,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,766,i,learn,learn_trial,16.6667,60,out,0,1
canvas-keyboard-response,534,3886665,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,971,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,539,3889159,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,889,i,learn,learn_trial,20,110,out,0,1
canvas-keyboard-response,544,3892312,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1554,u,learn,learn_trial,22.2971,78.905,in,1,1
canvas-keyboard-response,549,3895473,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1560,u,learn,learn_trial,26.4216,82.9254,in,1,1
canvas-keyboard-response,554,3900681,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,3610,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,559,3902920,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,633,i,learn,learn_trial,36.6667,40,out,0,1
canvas-keyboard-response,564,3907114,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,2595,u,learn,learn_trial,27.8087,78.1624,in,1,1
canvas-keyboard-response,569,3909665,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,948,u,learn,learn_trial,29.2426,87.7279,in,1,1
canvas-keyboard-response,574,3911937,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,668,u,learn,learn_trial,25,75,in,1,1
