participant,computer_number,exp_condition,trial_type,set_type,set,difficulty_level,stim_order,stim_1_phy,stim_2_phy,stim_3_phy,stim_1_psy,stim_2_psy,stim_3_psy,stim_1_phy_shuffled,stim_2_phy_shuffled,stim_3_phy_shuffled,stim_1_psy_shuffled,stim_2_psy_shuffled,stim_3_psy_shuffled,key_correct_1,key_correct_2,key_resp,choice_num,choice_stim_phy,choice_stim_psy,correct,rt,stim_min,stim_max,choice
1,1,centered,attraction,binary,l-s,difficult,[0 1],236,273,NA,9.25,12.25,NA,236,273,NA,9.25,12.25,NA,k,NA,j,1,236,9.25,0,1.9644298553466797,12.25,9.25,l
1,1,centered,attraction,binary,l-s,easy,[0 1],224,273,NA,8.25,12.25,NA,224,273,NA,8.25,12.25,NA,k,NA,k,2,273,12.25,1,2.7634212970733643,12.25,8.25,s
1,1,centered,attraction,binary,l-s,difficult,[1 0],247,286,NA,10.25,13.25,NA,286,247,NA,13.25,10.25,NA,k,NA,k,2,247,10.25,1,2.000109910964966,10.25,13.25,s
1,1,centered,attraction,binary,l-s,difficult,[1 0],247,286,NA,10.25,13.25,NA,286,247,NA,13.25,10.25,NA,k,NA,j,1,286,13.25,0,1.6459546089172363,10.25,13.25,l
1,1,centered,attraction,binary,l-s,equal_2_jnd,[0 1],236,286,NA,9.25,13.25,NA,236,286,NA,9.25,13.25,NA,j,k,j,1,236,9.25,1,2.9181630611419678,13.25,9.25,l
1,1,centered,attraction,binary,l-s,difficult,[0 1],236,273,NA,9.25,12.25,NA,236,273,NA,9.25,12.25,NA,k,NA,j,1,236,9.25,0,0.8108994960784912,12.25,9.25,l
1,1,centered,filler,binary,NA,NA,[0 1],300,234,NA,14.23978476824527,9.095668499940077,NA,300,234,NA,14.23978476824527,9.095668499940077,NA,j,NA,k,2,234,9.095668499940077,0,1.6491572856903076,14.2397847682453,9.09566849994008,NA
1,1,centered,attraction,trinary,l-s-ds,difficult,[0 2 1],247,286,224.0,10.25,13.25,8.25,247,224,286,10.25,8.25,13.25,j,NA,j,1,247,10.25,1,3.345078706741333,10.25,8.25,ds
1,1,centered,attraction,trinary,l-s-ds,equal_2_jnd,[1 0 2],236,286,214.0,9.25,13.25,7.25,286,236,214,13.25,9.25,7.25,k,j,k,2,236,9.25,1,1.5594451427459717,13.25,9.25,l
1,1,centered,filler,binary,NA,NA,[0 1],248,246,NA,10.30760504079765,10.114881485933438,NA,248,246,NA,10.30760504079765,10.114881485933438,NA,j,NA,j,1,248,10.30760504079765,1,6.548851251602173,10.1148814859334,10.3076050407977,NA
1,1,centered,attraction,binary,l-s,easy,[1 0],247,301,NA,10.25,14.25,NA,301,247,NA,14.25,10.25,NA,k,NA,k,2,247,10.25,1,2.2121732234954834,10.25,14.25,s
1,1,centered,attraction,trinary,l-s-dl,difficult,[2 0 1],247,286,316.0,10.25,13.25,15.25,316,247,286,15.25,10.25,13.25,k,NA,k,2,247,10.25,1,2.110422372817993,10.25,15.25,s
