participant,computer_number,exp_condition,trial_n,dens,jnds,line_len,distribution,key_resp,rt,resp,correct
100,2,left,59,0.1488807256544705,5.97,201,in,u,0.7163436412811279,in,1
100,2,left,60,0.0444444444444444,16.99,344,out,i,0.890730619430542,out,1
100,2,left,61,0.0444444444444444,20.02,398,out,i,0.5412111282348633,out,1
100,2,left,62,0.0444444444444444,3.48,178,out,u,3.8373677730560303,in,0
100,2,left,63,0.0444444444444444,0.01,150,out,i,1.2637066841125488,out,1
100,2,left,64,0.1859439875974732,8.25,224,in,u,0.9397919178009033,in,1
100,2,left,65,0.0444444444444444,17.61,354,out,i,0.6646621227264404,out,1
100,2,left,66,0.0444444444444444,21.15,421,out,i,0.7569196224212646,out,1
100,2,left,67,0.0444444444444444,12.64,278,out,i,0.885671854019165,out,1
100,2,left,68,0.0033880193442544,1.79,164,in,u,0.7510616779327393,in,1
100,2,left,69,0.0444444444444444,7.84,220,out,u,0.7832036018371582,in,0
100,2,left,70,0.0672182969433732,10.45,250,in,i,0.6998820304870605,out,0
100,2,left,71,0.1953407533091555,7.91,221,in,u,0.7992982864379883,in,1
100,2,left,72,0.0444444444444444,15.75,323,out,i,0.7951886653900146,out,1
100,2,left,73,0.0444444444444444,2.68,171,out,u,0.9626443386077881,in,0
100,2,left,74,0.0444444444444444,21.83,435,out,i,0.7437539100646973,out,1
100,2,left,75,0.0947799592325099,5.0600000000000005,192,in,u,1.7877333164215088,in,1
100,2,left,76,0.1967916365307053,7.83,220,in,i,1.4347023963928223,out,0
100,2,left,77,0.0444444444444444,14.09,298,out,i,1.5366911888122559,out,1
100,2,left,78,0.0444444444444444,20.62,410,out,i,0.7306029796600342,out,1
100,2,left,79,0.1270407608337813,9.4,237,in,u,0.9187648296356201,in,1
100,2,left,80,0.0930507912376185,9.97,244,in,i,0.93735504150390625,out,0
100,2,left,81,0.1630644442897305,8.77,230,in,i,1.342834234237671,out,0
100,2,left,82,0.0444444444444444,11.62,264,out,u,0.8853685855865479,in,0
100,2,left,83,0.1431145682999597,9.13,234,in,u,0.7265923023223877,in,1
100,2,left,84,0.0444444444444444,20.1,400,out,i,0.7608771324157715,out,1
100,2,left,85,0.0444444444444444,10.99,256,out,i,1.568958044052124,out,1
100,2,left,86,0.0959385599838225,9.92,243,in,u,0.8363907337188721,in,1
100,2,left,87,0.0444444444444444,17.94,360,out,i,0.5924952030181885,out,1
100,2,left,88,0.1961040697466109,7.87,220,in,u,0.6299991607666016,in,1
100,2,left,89,0.0444444444444444,6.18,203,out,i,0.7874951362609863,out,1
100,2,left,90,0.0444444444444444,22.26,444,out,i,0.7203218936920166,out,1
100,2,left,91,0.1786284564560855,8.44,226,in,i,1.4104816913604736,out,0
100,2,left,92,0.0444444444444444,2.25,167,out,i,0.7434055805206299,out,1
100,2,left,93,0.0377296209072985,3.85,181,in,u,0.9136362075805664,in,1
100,2,left,94,0.0387723741431307,11.12,258,in,u,0.9492545127868652,in,1
100,2,left,95,0.1197861400293165,5.48,196,in,i,0.7750637531280518,out,0
100,2,left,96,0.0444444444444444,22.39,447,out,i,0.6709182262420654,out,1
100,2,left,97,0.0444444444444444,5.42,195,out,u,0.6152949333190918,in,0
100,2,left,98,0.1981740106511521,7.27,214,in,u,0.7959644794464111,in,1
100,2,left,99,0.1419458272271371,5.85,200,in,u,0.9168353080749512,in,1
100,2,left,100,0.0444444444444444,0.05,150,out,i,0.43857264518737793,out,1
100,2,left,101,0.0036893322750674,13.15,285,in,i,0.5517101287841797,out,0
100,2,left,102,0.019355139402609,11.82,267,in,u,1.1966338157653809,in,1
100,2,left,103,0.0444444444444444,3.92,182,out,i,0.9964127540588379,out,1
100,2,left,104,0.0444444444444444,18.45,369,out,i,0.7455050945281982,out,1
100,2,left,105,0.1751614265926797,8.52,227,in,i,0.7149622440338135,out,0
100,2,left,106,0.0753953412833294,4.71,189,in,i,0.6646015644073486,out,0
100,2,left,107,0.1425307814292597,5.86,200,in,u,0.4461088180541992,in,1
100,2,left,108,0.0444444444444444,18.43,369,out,i,1.1390857696533203,out,1
100,2,left,109,0.0444444444444444,16.41,334,out,i,1.9229481220245361,out,1
100,2,left,110,0.0444444444444444,1.6,162,out,u,0.482072114944458,in,0
100,2,left,111,0.0444444444444444,16.02,328,out,i,0.9329957962036133,out,1
100,2,left,112,0.0444444444444444,4.81,190,out,u,1.454927921295166,in,0
100,2,left,113,0.1550438509731031,6.08,202,in,u,0.72740936279296875,in,1
100,2,left,114,0.0444444444444444,19.72,393,out,i,1.1124272346496582,out,1
100,2,left,115,0.1947190959507421,7.0600000000000005,212,in,u,0.8483262062072754,in,1
100,2,left,116,0.0444444444444444,21.94,438,out,i,0.5987386703491211,out,1
100,2,left,117,0.0614144706922352,4.43,186,in,i,1.1162786483764648,out,0
100,2,left,118,0.0444444444444444,15.72,323,out,i,0.8229880332946777,out,1
100,2,left,119,0.1651155425002292,8.73,230,in,u,1.1360435485839844,in,1
100,2,left,120,0.1959203083328453,7.88,220,in,u,0.6106367111206055,in,1
100,2,left,121,0.0444444444444444,5.72,198,out,u,0.4044661521911621,in,0
