"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","response","exp_trial_type","stimulus","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"","","","","","canvas-keyboard-response","879","627160","0.0-12.0-2.173","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","946","i","learn","","","learn_trial","13.3333","90","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","880","627671","0.0-12.0-3.173","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","learn_feedback","","","learn_feedback","13.3333","90","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","881","627732","0.0-12.0-4.173","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","882","628241","0.0-12.0-0.174","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","883","628752","0.0-12.0-1.174","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","884","629481","0.0-12.0-2.174","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","720","u","learn","","","learn_trial","25","57","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","885","629994","0.0-12.0-3.174","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","learn_feedback","","","learn_feedback","25","57","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","886","630053","0.0-12.0-4.174","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","887","630564","0.0-12.0-0.175","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","888","631076","0.0-12.0-1.175","2d_cat_multi_stim_exp1","2022-4-28","14:55:46","25","75","3","9","10","40","30","120","68","21","[""White""]","No","Female","1809499","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
