"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","response","exp_trial_type","stimulus","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","angle_c","radius_c","question_order"
"","","","","","canvas-keyboard-response","25","115213","0.0-12.0-3.2","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","learn_feedback","","","learn_feedback","30","80","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","26","115272","0.0-12.0-4.2","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","27","115781","0.0-12.0-0.3","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","28","116296","0.0-12.0-1.3","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","29","118319","0.0-12.0-2.3","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","2015","u","learn","","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","30","118830","0.0-12.0-3.3","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","learn_feedback","","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","31","118890","0.0-12.0-4.3","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","32","119402","0.0-12.0-0.4","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","33","119911","0.0-12.0-1.4","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","34","121552","0.0-12.0-2.4","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","1632","u","learn","","","learn_trial","26.6667","100","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","35","122562","0.0-12.0-3.4","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","learn_feedback","","","learn_feedback","26.6667","100","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","36","122616","0.0-12.0-4.4","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","37","123124","0.0-12.0-0.5","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","38","123634","0.0-12.0-1.5","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","39","125151","0.0-12.0-2.5","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","1506","u","learn","","","learn_trial","27.8087","78.1624","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","40","125660","0.0-12.0-3.5","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","learn_feedback","","","learn_feedback","27.8087","78.1624","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","41","125720","0.0-12.0-4.5","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","42","126229","0.0-12.0-0.6","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","43","126743","0.0-12.0-1.6","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","44","127816","0.0-12.0-2.6","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","1064","i","learn","","","learn_trial","36.6667","50","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","45","128326","0.0-12.0-3.6","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","learn_feedback","","","learn_feedback","36.6667","50","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","46","128388","0.0-12.0-4.6","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","47","128896","0.0-12.0-0.7","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","48","129409","0.0-12.0-1.7","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","49","130608","0.0-12.0-2.7","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","1187","u","learn","","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","50","131117","0.0-12.0-3.7","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","learn_feedback","","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","51","131180","0.0-12.0-4.7","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","52","131690","0.0-12.0-0.8","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","53","132203","0.0-12.0-1.8","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","54","133870","0.0-12.0-2.8","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","1662","i","learn","","","learn_trial","40","70","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","55","134376","0.0-12.0-3.8","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","learn_feedback","","","learn_feedback","40","70","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","56","134435","0.0-12.0-4.8","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","57","134945","0.0-12.0-0.9","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","58","135457","0.0-12.0-1.9","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","59","136847","0.0-12.0-2.9","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","1381","i","learn","","","learn_trial","22.0121","75.8068","in","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","60","137856","0.0-12.0-3.9","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","learn_feedback","","","learn_feedback","22.0121","75.8068","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","61","137916","0.0-12.0-4.9","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","62","138425","0.0-12.0-0.10","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","63","138934","0.0-12.0-1.10","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","64","140287","0.0-12.0-2.10","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","1345","u","learn","","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","65","140798","0.0-12.0-3.10","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","learn_feedback","","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
