"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","response","exp_trial_type","stimulus","view_history","screen_id","angle","radius","distribution","correct","choice","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"","","","","","canvas-keyboard-response","1625","1571489","0.0-15.0-3.152","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1626","1572001","0.0-15.0-0.153","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","fixation","","","","","","ab","25","75","17","48","","","j","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1627","1573593","0.0-15.0-1.153","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","1131","j","transfer","","","transfer_trial","","","","1","a","ab","25","75","17","48","null","null","j","filler_easy","binary","a","","","","","","","in","out1","",""
"","","","","","canvas-keyboard-response","1628","1574608","0.0-15.0-2.153","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","j","transfer","","","transfer_feedback","","","","1","a","ab","25","75","17","48","null","null","","filler_easy","binary","a","","","","","","","in","out1","",""
"","","","","","canvas-keyboard-response","1629","1574919","0.0-15.0-3.153","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1630","1575428","0.0-15.0-0.154","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","fixation","","","","","","acb","28","75","30.25","75","22","75","jk","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1631","1577314","0.0-15.0-1.154","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","1421","j","transfer","","","transfer_trial","","","","1","a","acb","28","75","30.25","75","22","75","jk","attraction","trinary","ac","both","180","t","d","c","1","","","",""
"","","","","","canvas-keyboard-response","1632","1577827","0.0-15.0-2.154","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","j","transfer","","","transfer_feedback","","","","1","a","acb","28","75","30.25","75","22","75","","attraction","trinary","ac","both","","t","d","c","1","","","",""
"","","","","","canvas-keyboard-response","1633","1578137","0.0-15.0-3.154","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1634","1578647","0.0-15.0-0.155","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","fixation","","","","","","ab","25","66","25","84","","","jk","","","","","","","","","","","","",""
