"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","stimulus","response","exp_trial_type","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","angle_c","radius_c","question_order"
"","","","","","instructions","11","166627","0.0-11.0","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","41063","","","","[{""page_index"":0,""viewing_time"":7047},{""page_index"":1,""viewing_time"":28536},{""page_index"":2,""viewing_time"":5480}]","instructions_2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","12","168498","0.0-12.0","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","1869","","","","[{""page_index"":0,""viewing_time"":1869}]","Click to begin the first phase of the experiment.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","13","169009","0.0-13.0-0.0","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","14","169519","0.0-13.0-1.0","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","15","176969","0.0-13.0-2.0","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","7438","","u","learn","","learn_trial","23.3333","90","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","16","177982","0.0-13.0-3.0","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","23.3333","90","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","17","178043","0.0-13.0-4.0","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","18","178554","0.0-13.0-0.1","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","19","179065","0.0-13.0-1.1","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","20","181193","0.0-13.0-2.1","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","2117","","i","learn","","learn_trial","33.3333","50","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","21","181702","0.0-13.0-3.1","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","33.3333","50","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","22","181763","0.0-13.0-4.1","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","23","182271","0.0-13.0-0.2","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","24","182785","0.0-13.0-1.2","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","25","184065","0.0-13.0-2.2","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","1269","","i","learn","","learn_trial","36.6667","50","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","26","184575","0.0-13.0-3.2","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","36.6667","50","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","27","184635","0.0-13.0-4.2","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","28","185145","0.0-13.0-0.3","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","29","185655","0.0-13.0-1.3","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","30","187448","0.0-13.0-2.3","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","1785","","u","learn","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","31","187960","0.0-13.0-3.3","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","32","188019","0.0-13.0-4.3","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","33","188528","0.0-13.0-0.4","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","34","189037","0.0-13.0-1.4","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","35","190449","0.0-13.0-2.4","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","1403","","i","learn","","learn_trial","13.3333","80","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","36","190960","0.0-13.0-3.4","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","13.3333","80","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","37","191018","0.0-13.0-4.4","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","38","191527","0.0-13.0-0.5","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","39","192036","0.0-13.0-1.5","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","40","193904","0.0-13.0-2.5","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","1859","","u","learn","","learn_trial","26.6667","100","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","41","194913","0.0-13.0-3.5","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","26.6667","100","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","42","194972","0.0-13.0-4.5","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","43","195481","0.0-13.0-0.6","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","44","195990","0.0-13.0-1.6","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","45","198184","0.0-13.0-2.6","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","2183","","i","learn","","learn_trial","20","60","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","46","198693","0.0-13.0-3.6","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","20","60","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","47","198752","0.0-13.0-4.6","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","48","199262","0.0-13.0-0.7","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","49","199771","0.0-13.0-1.7","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","50","200969","0.0-13.0-2.7","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","1187","","u","learn","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","51","201478","0.0-13.0-3.7","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","52","201537","0.0-13.0-4.7","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","53","202046","0.0-13.0-0.8","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","54","202556","0.0-13.0-1.8","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","55","203401","0.0-13.0-2.8","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","835","","i","learn","","learn_trial","26.6667","60","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","56","203911","0.0-13.0-3.8","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","26.6667","60","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","57","203969","0.0-13.0-4.8","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","58","204478","0.0-13.0-0.9","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","59","204988","0.0-13.0-1.9","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","60","205992","0.0-13.0-2.9","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","995","","u","learn","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","61","206502","0.0-13.0-3.9","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","62","206560","0.0-13.0-4.9","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","63","207070","0.0-13.0-0.10","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","64","207581","0.0-13.0-1.10","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","65","208225","0.0-13.0-2.10","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","631","","u","learn","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","66","208737","0.0-13.0-3.10","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","67","208797","0.0-13.0-4.10","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","68","209307","0.0-13.0-0.11","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","69","209818","0.0-13.0-1.11","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","70","210801","0.0-13.0-2.11","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","973","","u","learn","","learn_trial","20.7574","87.7279","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","71","211309","0.0-13.0-3.11","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","20.7574","87.7279","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","72","211369","0.0-13.0-4.11","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","73","211879","0.0-13.0-0.12","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","74","212389","0.0-13.0-1.12","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","75","212896","0.0-13.0-2.12","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","497","","i","learn","","learn_trial","33.3333","30","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","76","213407","0.0-13.0-3.12","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","33.3333","30","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","77","213467","0.0-13.0-4.12","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","78","213976","0.0-13.0-0.13","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","79","214485","0.0-13.0-1.13","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","80","215184","0.0-13.0-2.13","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","690","","u","learn","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","81","215694","0.0-13.0-3.13","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","82","215753","0.0-13.0-4.13","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","83","216262","0.0-13.0-0.14","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","84","216772","0.0-13.0-1.14","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","85","217649","0.0-13.0-2.14","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","866","","u","learn","","learn_trial","22.2971","71.095","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","86","218157","0.0-13.0-3.14","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","22.2971","71.095","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","87","218217","0.0-13.0-4.14","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","88","218726","0.0-13.0-0.15","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","89","219234","0.0-13.0-1.15","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","90","219976","0.0-13.0-2.15","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","732","","u","learn","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","91","220486","0.0-13.0-3.15","2d_cat_multi_stim_exp1","2022-4-1","14:1:6","25","75","3","9","10","40","30","120","7","21","[""White""]","No","Female","1759131","null","","null","learn_feedback","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
