"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","stimulus","response","exp_trial_type","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"","","","","","canvas-keyboard-response","1522","1035522","0.0-16.0-3.126","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1523","1036031","0.0-16.0-0.127","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","fixation","","","","","","cab","22","75","19.75","75","28","75","jk","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1524","1037357","0.0-16.0-1.127","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","859","","j","transfer","","transfer_trial","","","","c","1","cab","22","75","19.75","75","28","75","jk","attraction","trinary","ac","both","t","d","c","2","","","",""
"","","","","","canvas-keyboard-response","1525","1037868","0.0-16.0-2.127","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","j","transfer","","transfer_feedback","","","","c","1","cab","22","75","19.75","75","28","75","","attraction","trinary","ac","both","t","d","c","2","","","",""
"","","","","","canvas-keyboard-response","1526","1038184","0.0-16.0-3.127","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1527","1038693","0.0-16.0-0.128","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","fixation","","","","","","bca","24","74","35","48","34","48","l","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1528","1039685","0.0-16.0-1.128","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","525","","j","transfer","","transfer_trial","","","","b","0","bca","24","74","35","48","34","48","l","filler_easy","trinary","a","","","","","","in","out1","out2",""
"","","","","","canvas-keyboard-response","1529","1043697","0.0-16.0-2.128","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","j","transfer","","transfer_feedback","","","","b","0","bca","24","74","35","48","34","48","","filler_easy","trinary","a","","","","","","in","out1","out2",""
"","","","","","canvas-keyboard-response","1530","1044010","0.0-16.0-3.128","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1531","1044522","0.0-16.0-0.129","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","fixation","","","","","","ba","24","59","34","97","","","k","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1532","1045692","0.0-16.0-1.129","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","702","","k","transfer","","transfer_trial","","","","a","1","ba","24","59","34","97","null","null","k","filler_sample","binary","a","","","","","","in","out1","out2",""
"","","","","","canvas-keyboard-response","1533","1046707","0.0-16.0-2.129","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","k","transfer","","transfer_feedback","","","","a","1","ba","24","59","34","97","null","null","","filler_sample","binary","a","","","","","","in","out1","out2",""
"","","","","","canvas-keyboard-response","1534","1047020","0.0-16.0-3.129","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1535","1047532","0.0-16.0-0.130","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","fixation","","","","","","ba","28","75","22","75","","","jk","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1536","1048404","0.0-16.0-1.130","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","409","","k","transfer","","transfer_trial","","","","a","1","ba","28","75","22","75","null","null","jk","attraction","binary","ab","both","t","c","","1","","","",""
