"success","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","date","sub_n","rt","response","timeout","failed_images","failed_audio","failed_video","view_history","stim","line_lens","line_lens_order","choices","stim_names","corr_ans","give_fb","in_cat","key_choice","yn_choice","choice","correct","fb_in_cat","stim_1_in_order","stim_2_in_order","stim_3_in_order","line_length","cat_trial_type","jnds","T_psy","T_phys","C_psy","C_phys","D_psy","D_phys","corr_choice","correct_psy","stim_1","stim_2","stim_3","stim_1_psy","stim_2_psy","stim_3_psy","transfer_trial_type","trial_choice_set","difficulty_level","target_side","competitor_side","tc_correct","correct_dist_to_mean","side_correct","attr_choice","stimulus"
"","transfer_trial","categorize-lines","474","1784528","0.0-5.0-0.267","20211006","121","1146","","","","","","","","[274.234,201.1364]","[274.234,201.1364]","[""j"",""k""]","[""J"",""K""]","274.234","false","null","j","","274.234","1","null","201.1364","","","","transfer","","","","","","","","274.234","12.3661","274.234","201.1364","0","12.3661","6.0124","0","filler","binary","","","","","1.1161","right","NA",""
"","transfer_trial","categorize-lines","475","1786424","0.0-5.0-0.268","20211006","121","822","","","","","","","","[247.3327,272.6843]","[272.6843,247.3327]","[""j"",""k""]","[""J"",""K""]","null","false","null","j","","272.6843","0","null","247.3327","","","","transfer","","12.25","272.6843","10.25","247.3327","","","","","247.3327","272.6843","0","10.25","12.25","0","attraction","binary","equal_chance_1_JND","right","left","both","1","equal","target",""
"","transfer_trial","categorize-lines","476","1788552","0.0-5.0-0.269","20211006","121","1054","","","","","","","","[235.555,286.3185]","[235.555,286.3185]","[""j"",""k""]","[""J"",""K""]","null","false","null","k","","286.3185","0","null","286.3185","","","","transfer","","9.25","235.555","13.25","286.3185","","","","","235.555","286.3185","0","9.25","13.25","0","attraction","binary","equal_chance_2_JND","left","right","both","2","equal","competitor",""
"","transfer_trial","categorize-lines","477","1791080","0.0-5.0-0.270","20211006","121","1448","","","","","","","","[235.555,286.3185]","[286.3185,235.555]","[""j"",""k""]","[""J"",""K""]","null","false","null","j","","286.3185","0","null","235.555","","","","transfer","","13.25","286.3185","9.25","235.555","","","","","235.555","286.3185","0","9.25","13.25","0","attraction","binary","equal_chance_2_JND","right","left","both","2","equal","target",""
"","transfer_trial","categorize-lines","478","1793384","0.0-5.0-0.271","20211006","121","1226","","","","","","","","[272.6843,224.3381,300.6345]","[272.6843,224.3381,300.6345]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","272.6843","false","null","j","","272.6843","1","null","224.3381","300.6345","","","transfer","","12.25","272.6843","8.25","224.3381","14.25","300.6345","272.6843","12.25","272.6843","224.3381","300.6345","12.25","8.25","14.25","attraction","trinary","easy","right","left","target","1","right","target",""
"","transfer_trial","categorize-lines","479","1795536","0.0-5.0-0.272","20211006","121","1072","","","","","","","","[328.3209,169.4252,256.5509]","[256.5509,328.3209,169.4252]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","328.3209","false","null","l","","169.4252","0","null","328.3209","169.4252","","","transfer","","","","","","","","328.3209","16.0556","328.3209","169.4252","256.5509","16.0556","2.4959","11","filler","trinary","","","","","4.8056","right","NA",""
"","transfer_trial","categorize-lines","480","1797768","0.0-5.0-0.273","20211006","121","1154","","","","","","","","[180.2735,344.178,360.9929]","[360.9929,344.178,180.2735]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","180.2735","false","null","k","","344.178","0","null","344.178","180.2735","","","transfer","","","","","","","","180.2735","3.768","180.2735","344.178","360.9929","3.768","17.0224","18","filler","trinary","","","","","7.482","left","NA",""
"","transfer_trial","categorize-lines","481","1800024","0.0-5.0-0.274","20211006","121","1178","","","","","","","","[305.254,300.7485]","[300.7485,305.254]","[""j"",""k""]","[""J"",""K""]","305.254","false","null","k","","305.254","1","null","305.254","","","","transfer","","","","","","","","305.254","14.5625","305.254","300.7485","0","14.5625","14.2578","0","filler","binary","","","","","3.3125","right","NA",""
"","transfer_trial","categorize-lines","482","1802048","0.0-5.0-0.275","20211006","121","948","","","","","","","","[167.4275,266.5615]","[266.5615,167.4275]","[""j"",""k""]","[""J"",""K""]","167.4275","false","null","k","","167.4275","1","null","167.4275","","","","transfer","","","","","","","","167.4275","2.2528","167.4275","266.5615","0","2.2528","11.7845","0","filler","binary","","","","","8.9972","left","NA",""
"","transfer_trial","categorize-lines","483","1804088","0.0-5.0-0.276","20211006","121","962","","","","","","","","[272.6843,224.3381,300.6345]","[224.3381,300.6345,272.6843]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","272.6843","false","null","j","","224.3381","0","null","300.6345","272.6843","","","transfer","","12.25","272.6843","8.25","224.3381","14.25","300.6345","272.6843","12.25","272.6843","224.3381","300.6345","12.25","8.25","14.25","attraction","trinary","easy","right","left","target","1","right","competitor",""
"","transfer_trial","categorize-lines","484","1806048","0.0-5.0-0.277","20211006","121","884","","","","","","","","[272.6843,224.3381]","[272.6843,224.3381]","[""j"",""k""]","[""J"",""K""]","272.6843","false","null","k","","224.3381","0","null","224.3381","","","","transfer","","8.25","224.3381","12.25","272.6843","","","272.6843","12.25","272.6843","224.3381","0","12.25","8.25","0","attraction","binary","easy","left","right","competitor","1","right","target",""
"","transfer_trial","categorize-lines","485","1807784","0.0-5.0-0.278","20211006","121","656","","","","","","","","[235.555,286.3185]","[286.3185,235.555]","[""j"",""k""]","[""J"",""K""]","null","false","null","j","","286.3185","0","null","235.555","","","","transfer","","13.25","286.3185","9.25","235.555","","","","","235.555","286.3185","0","9.25","13.25","0","attraction","binary","equal_chance_2_JND","right","left","both","2","equal","target",""
"","transfer_trial","categorize-lines","486","1809752","0.0-5.0-0.279","20211006","121","894","","","","","","","","[262.3725,331.3835,157.5]","[157.5,262.3725,331.3835]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","262.3725","false","null","j","","157.5","0","null","262.3725","331.3835","","","transfer","","","","","","","","262.3725","11.4599","262.3725","331.3835","157.5","11.4599","16.2459","1","filler","trinary","","","","","0.2099","right","NA",""
"","transfer_trial","categorize-lines","487","1812520","0.0-5.0-0.280","20211006","121","1692","","","","","","","","[247.3327,286.3185,315.6662]","[315.6662,286.3185,247.3327]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","247.3327","false","null","k","","286.3185","0","null","286.3185","247.3327","","","transfer","","13.25","286.3185","10.25","247.3327","15.25","315.6662","247.3327","10.25","247.3327","286.3185","315.6662","10.25","13.25","15.25","attraction","trinary","difficult","right","left","competitor","1","left","target",""
"","transfer_trial","categorize-lines","488","1814512","0.0-5.0-0.281","20211006","121","918","","","","","","","","[282.4293,184.8867,211.0651]","[211.0651,282.4293,184.8867]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","282.4293","false","null","j","","211.0651","0","null","282.4293","184.8867","","","transfer","","","","","","","","282.4293","12.9697","282.4293","184.8867","211.0651","12.9697","4.2859","7","filler","trinary","","","","","1.7197","right","NA",""
"","transfer_trial","categorize-lines","489","1817184","0.0-5.0-0.282","20211006","121","1596","","","","","","","","[272.6843,224.3381,203.4812]","[203.4812,224.3381,272.6843]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","272.6843","false","null","k","","224.3381","0","null","224.3381","272.6843","","","transfer","","8.25","224.3381","12.25","272.6843","6.25","203.4812","272.6843","12.25","272.6843","224.3381","203.4812","12.25","8.25","6.25","attraction","trinary","easy","left","right","competitor","1","right","target",""
"","transfer_trial","categorize-lines","490","1819360","0.0-5.0-0.283","20211006","121","1098","","","","","","","","[272.6843,224.3381,300.6345]","[300.6345,272.6843,224.3381]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","272.6843","false","null","j","","300.6345","0","null","272.6843","224.3381","","","transfer","","12.25","272.6843","8.25","224.3381","14.25","300.6345","272.6843","12.25","272.6843","224.3381","300.6345","12.25","8.25","14.25","attraction","trinary","easy","right","left","target","1","right","decoy",""
