"success","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","sub_n","rt","response","url","timeout","failed_images","failed_audio","failed_video","view_history","stim","stim_vals","line_lens_order","stim_vals_order_psy","choices","stim_names","corr_ans","give_fb","in_cat","key_choice","choice","choice_psy","correct","fb_in_cat","line_1_in_order","line_2_in_order","line_3_in_order","psy_1_in_order","psy_2_in_order","psy_3_in_order","line_length","exp_trial_type","jnds","dens","distribution","T_psy","T_phy","C_psy","C_phy","D_psy","D_phy","correct_1_psy","correct_2_psy","correct_1_phy","transfer_trial_type","trial_choice_set","difficulty","target_side","competitor_side","tc_correct","side_correct","stim_1_psy","stim_2_psy","stim_3_psy","stim_1_phy","stim_2_phy","stim_3_phy","target_phy","competitor_phy","decoy_phy","attr_choice","question_order","stimulus"
"","transfer_trial","categorize-lines-2","549","2478514","0.0-6.0-0.341","line_cat_multi_stim_2","20211116","117","1090","","","","","","","","","[260.6494373900021,254.6949033424919,239.2743907087141]","[260.6494373900021,239.2743907087141,254.6949033424919]","[11.324845243569003,9.571102813978275,10.851184583362542]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","sampled_1","true","null","j","260.6494373900021","11.324845243569003","1","","260.6494373900021","239.2743907087141","254.6949033424919","11.324845243569003","9.571102813978275","10.851184583362542","","transfer","","","","","","","","","","","","","filler_sample","trinary","","","","","right","-1","1","1","","","","","","","NA","",""
"","transfer_trial","categorize-lines-2","550","2483284","0.0-6.0-0.342","line_cat_multi_stim_2","20211116","117","732","","","","","","","","","[339.6347,208.5062,323.4616]","[208.5062,339.6347,323.4616]","[6.749997433250141,16.7500017281595,15.750000521219516]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[339.6347,339.6347]","true","null","j","208.5062","6.749997433250141","0","","208.5062","339.6347","323.4616","6.749997433250141","16.7500017281595","15.750000521219516","","transfer","","","","","339.6347","","208.5062","","323.4616","16.75","339.6347","339.6347","attraction","trinary","difficult","right","left","target","right","16.75","6.75","15.75","339.6347","208.5062","323.4616","339.6347","208.5062","323.4616","competitor","",""
"","transfer_trial","categorize-lines-2","551","2486272","0.0-6.0-0.343","line_cat_multi_stim_2","20211116","117","956","","","","","","","","","[362.8418668491582,252.10263168014237]","[252.10263168014237,362.8418668491582]","[10.641509163052088,18.104710893627946,null]","[""j"",""k""]","[""J"",""K""]","sampled_1","true","null","k","362.8418668491582","18.104710893627946","1","","252.10263168014237","362.8418668491582","","10.641509163052088","18.104710893627946","NaN","","transfer","","","","","","","","","","","","","filler_sample","binary","","","","","left","-1","1","0","","","","","","","NA","",""
"","transfer_trial","categorize-lines-2","552","2491346","0.0-6.0-0.344","line_cat_multi_stim_2","20211116","117","1036","","","","","","","","","[286.3443444042281,249.2726213787328,286.4169675915654]","[249.2726213787328,286.3443444042281,286.4169675915654]","[10.410128292496411,13.251847066208851,13.257044624263711]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","sampled_1","true","null","j","249.2726213787328","10.410128292496411","0","","249.2726213787328","286.3443444042281","286.4169675915654","10.410128292496411","13.251847066208851","13.257044624263711","","transfer","","","","","","","","","","","","","filler_sample","trinary","","","","","right","-1","1","1","","","","","","","NA","",""
"","transfer_trial","categorize-lines-2","553","2494064","0.0-6.0-0.345","line_cat_multi_stim_2","20211116","117","686","","","","","","","","","[156.1005,242.1798]","[156.1005,242.1798]","[0.8170650206569451,9.818477546704557,null]","[""j"",""k""]","[""J"",""K""]","[156.1005,156.1005]","true","null","j","156.1005","0.8170650206569451","1","","156.1005","242.1798","","0.8170650206569451","9.818477546704557","NaN","","transfer","","","","","","","","","","0.8171","156.1005","156.1005","filler_easy","binary","","","","","left","0.8171","9.8185","0","156.1005","242.1798","0","","","","NA","",""
"","transfer_trial","categorize-lines-2","554","2496882","0.0-6.0-0.346","line_cat_multi_stim_2","20211116","117","784","","","","","","","","","[448.4424,268.7859]","[268.7859,448.4424]","[11.954865652721075,22.446018981577534,null]","[""j"",""k""]","[""J"",""K""]","[448.4424,448.4424]","true","null","k","448.4424","22.446018981577534","1","","268.7859","448.4424","","11.954865652721075","22.446018981577534","NaN","","transfer","","","","","","","","","","22.446","448.4424","448.4424","filler_easy","binary","","","","","right","22.446","11.9549","0","448.4424","268.7859","0","","","","NA","",""
"","transfer_trial","categorize-lines-2","555","2500478","0.0-6.0-0.347","line_cat_multi_stim_2","20211116","117","1554","","","","","","","","","[323.4616,208.5062,218.9315]","[208.5062,218.9315,323.4616]","[6.749997433250141,7.749996497069925,15.750000521219516]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[208.5062,323.4616]","true","null","l","323.4616","15.750000521219516","1","","208.5062","218.9315","323.4616","6.749997433250141","7.749996497069925","15.750000521219516","","transfer","","","","","208.5062","","323.4616","","218.9315","6.75","323.4616","208.5062","attraction","trinary","equal_chance_5_JND","left","right","both","equal","15.75","6.75","7.75","323.4616","208.5062","218.9315","208.5062","323.4616","218.9315","competitor","",""
"","transfer_trial","categorize-lines-2","556","2503314","0.0-6.0-0.348","line_cat_multi_stim_2","20211116","117","798","","","","","","","","","[189.1213,323.4616]","[323.4616,189.1213]","[15.750000521219516,4.750000701688976,null]","[""j"",""k""]","[""J"",""K""]","[189.1213,189.1213]","true","null","k","189.1213","4.750000701688976","1","","323.4616","189.1213","","15.750000521219516","4.750000701688976","NaN","","transfer","","","","","323.4616","","189.1213","","","4.75","189.1213","189.1213","attraction","binary","easy","right","left","competitor","left","4.75","15.75","0","189.1213","323.4616","0","323.4616","189.1213","","competitor","",""
"","transfer_trial","categorize-lines-2","557","2507956","0.0-6.0-0.349","line_cat_multi_stim_2","20211116","117","600","","","","","","","","","[356.6164,208.5062,218.9315]","[208.5062,356.6164,218.9315]","[6.749997433250141,17.74999971659282,7.749996497069925]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[356.6164,356.6164]","true","null","j","208.5062","6.749997433250141","0","","208.5062","356.6164","218.9315","6.749997433250141","17.74999971659282","7.749996497069925","","transfer","","","","","208.5062","","356.6164","","218.9315","17.75","356.6164","356.6164","attraction","trinary","easy","left","right","competitor","right","17.75","6.75","7.75","356.6164","208.5062","218.9315","208.5062","356.6164","218.9315","target","",""
"","transfer_trial","categorize-lines-2","558","2510868","0.0-6.0-0.350","line_cat_multi_stim_2","20211116","117","878","","","","","","","","","[155.4981,264.6344]","[264.6344,155.4981]","[11.635827965682719,0.7378171279329412,null]","[""j"",""k""]","[""J"",""K""]","[155.4981,155.4981]","true","null","k","155.4981","0.7378171279329412","1","","264.6344","155.4981","","11.635827965682719","0.7378171279329412","NaN","","transfer","","","","","","","","","","0.7378","155.4981","155.4981","filler_easy","binary","","","","","left","0.7378","11.6358","0","155.4981","264.6344","0","","","","NA","",""
"","transfer_trial","categorize-lines-2","559","2514010","0.0-6.0-0.351","line_cat_multi_stim_2","20211116","117","1104","","","","","","","","","[205.75842425839974,259.9985196975944]","[259.9985196975944,205.75842425839974]","[11.273596897976502,6.478098488721787,null]","[""j"",""k""]","[""J"",""K""]","sampled_1","true","null","k","205.75842425839974","6.478098488721787","1","","259.9985196975944","205.75842425839974","","11.273596897976502","6.478098488721787","NaN","","transfer","","","","","","","","","","","","","filler_sample","binary","","","","","right","-1","1","0","","","","","","","NA","",""
