date,sub_n,trial_type,trial_num,line_len,distribution,jnds,key_choice,yn_choice,correct,rt
20210928,100,learn,129,196.3614,in,5.52,i,NO,FALSE,1097
20210928,100,learn,130,262.5019,in,11.47,u,YES,TRUE,287
20210928,100,learn,131,235.4401,in,9.24,i,NO,FALSE,1033
20210928,100,learn,132,226.3169,out,8.43,u,YES,FALSE,541
20210928,100,learn,133,242.9078,in,9.88,u,YES,TRUE,3266
20210928,100,learn,134,197.1294,out,5.6,u,YES,FALSE,908
20210928,100,learn,135,226.0962,in,8.41,i,NO,FALSE,274
20210928,100,learn,136,300.928,out,14.27,u,YES,FALSE,454
20210928,100,learn,137,433.4695,out,21.75,u,YES,FALSE,572
20210928,100,learn,138,173.1362,out,2.94,u,YES,FALSE,360
20210928,100,learn,139,268.0673,out,11.9,u,YES,FALSE,369
20210928,100,learn,140,256.4258,out,10.99,u,YES,FALSE,205
20210928,100,learn,141,225.3253,in,8.34,u,YES,TRUE,163
20210928,100,learn,142,206.4815,out,6.55,i,NO,TRUE,127
20210928,100,learn,143,158.6569,out,1.15,u,YES,FALSE,221
20210928,100,learn,144,189.3983,in,4.78,i,NO,FALSE,208
20210928,100,learn,145,234.4085,out,9.15,u,YES,FALSE,101
20210928,100,learn,146,338.1466,out,16.66,i,NO,TRUE,171
20210928,100,learn,147,315.3583,out,15.23,i,NO,TRUE,1329
20210928,100,learn,148,241.7256,in,9.78,i,NO,FALSE,1788
20210928,100,learn,149,327.7509,in,16.02,u,YES,TRUE,390
20210928,100,learn,150,223.5732,in,8.18,u,YES,TRUE,435
20210928,100,learn,151,204.3767,out,6.34,i,NO,TRUE,1385
20210928,100,learn,152,240.0801,out,9.64,i,NO,TRUE,932
20210928,100,learn,153,324.5682,in,15.82,u,YES,TRUE,348
20210928,100,learn,154,215.6451,out,7.44,u,YES,FALSE,1985
20210928,100,learn,155,170.5372,in,2.63,u,YES,TRUE,751
20210928,100,learn,156,186.2824,in,4.44,u,YES,TRUE,1118
20210928,100,learn,157,259.6994,in,11.25,i,NO,FALSE,1080
20210928,100,learn,158,402.0934,out,20.21,u,YES,FALSE,433
20210928,100,learn,159,260.715,in,11.33,i,NO,FALSE,275
20210928,100,learn,160,212.3044,in,7.12,u,YES,TRUE,202
20210928,100,learn,161,302.5474,in,14.38,i,NO,FALSE,305
20210928,100,learn,162,219.1453,in,7.77,i,NO,FALSE,154
20210928,100,learn,163,243.0264,out,9.89,u,YES,FALSE,490
20210928,100,learn,164,242.9078,in,9.88,u,YES,TRUE,381
20210928,100,learn,165,188.2927,out,4.66,i,NO,TRUE,690
20210928,100,learn,166,391.0651,out,19.64,i,NO,TRUE,405
20210928,100,learn,167,275.2239,in,12.44,i,NO,FALSE,737
20210928,100,learn,168,223.5732,in,8.18,u,YES,TRUE,706
20210928,100,learn,169,284.5082,out,13.12,u,YES,FALSE,1675
20210928,100,learn,170,179.6767,out,3.7,i,NO,TRUE,315
20210928,100,learn,171,289.5496,in,13.48,u,YES,TRUE,649
20210928,100,learn,172,153.0308,out,0.41,i,NO,TRUE,434
20210928,100,learn,173,242.5526,in,9.85,u,YES,TRUE,433
20210928,100,learn,174,254.3077,in,10.82,u,YES,TRUE,405
20210928,100,learn,175,274.8213,out,12.41,i,NO,TRUE,329
20210928,100,learn,176,294.3929,in,13.82,u,YES,TRUE,376
20210928,100,learn,177,257.4286,out,11.07,u,YES,FALSE,334
20210928,100,learn,178,224.886,in,8.3,i,NO,FALSE,142
20210928,100,learn,179,217.0172,out,7.57,u,YES,FALSE,219
20210928,100,learn,180,380.8964,out,19.1,i,NO,TRUE,861
20210928,100,learn,181,351.4346,in,17.45,i,NO,FALSE,346
20210928,100,learn,182,271.7546,in,12.18,i,NO,FALSE,379
20210928,100,learn,183,235.3252,out,9.23,i,NO,TRUE,332
20210928,100,learn,184,352.1211,out,17.49,i,NO,TRUE,1929
20210928,100,learn,185,241.019,in,9.72,i,NO,FALSE,482
20210928,100,learn,186,214.9099,out,7.37,i,NO,TRUE,887
20210928,100,learn,187,290.1153,in,13.52,u,YES,TRUE,756
20210928,100,learn,188,306.8586,in,14.67,i,NO,FALSE,533
20210928,100,learn,190,238.6785,out,9.52,u,YES,FALSE,296
20210928,100,learn,191,219.6805,in,7.82,i,NO,FALSE,368
20210928,100,learn,192,260.715,in,11.33,i,NO,FALSE,431
20210928,100,learn,193,170.787,out,2.66,u,YES,FALSE,467
20210928,100,learn,194,367.2103,out,18.35,u,YES,FALSE,505
20210928,100,learn,195,204.8759,out,6.39,i,NO,TRUE,451
20210928,100,learn,196,348.1918,out,17.26,u,YES,FALSE,7483
20210928,100,learn,197,441.7966,out,22.14,i,NO,TRUE,425
20210928,100,learn,198,286.0393,in,13.23,u,YES,TRUE,2487
20210928,100,learn,199,258.8139,in,11.18,i,NO,FALSE,1734
20210928,100,learn,200,233.8373,in,9.1,u,YES,TRUE,592
20210928,101,learn,1,304.3239,in,14.5,u,YES,TRUE,4690
20210928,101,learn,2,270.9602,in,12.12,u,YES,TRUE,1946
20210928,101,learn,3,238.6785,out,9.52,u,YES,FALSE,804
20210928,101,learn,4,372.443,in,18.64,i,NO,FALSE,1140
20210928,101,learn,5,248.5424,in,10.35,u,YES,TRUE,612
20210928,101,learn,6,304.621,out,14.52,i,NO,TRUE,2208
20210928,101,learn,7,160.2908,out,1.36,i,NO,TRUE,1292
20210928,101,learn,8,217.0172,out,7.57,u,YES,FALSE,1318
20210928,101,learn,9,306.8586,out,14.67,u,YES,FALSE,892
20210928,101,learn,10,268.8532,in,11.96,u,YES,TRUE,706
20210928,101,learn,11,325.361,out,15.87,u,YES,FALSE,862
20210928,101,learn,12,294.3929,in,13.82,i,NO,FALSE,1090
20210928,101,learn,13,211.2711,out,7.02,i,NO,TRUE,1228
20210928,101,learn,14,206.4815,out,6.55,i,NO,TRUE,2388
20210928,101,learn,15,223.4641,out,8.17,u,YES,FALSE,1046
20210928,101,learn,16,214.9099,out,7.37,i,NO,TRUE,936
20210928,101,learn,17,314.8971,in,15.2,u,YES,TRUE,1620
20210928,101,learn,18,284.5082,out,13.12,u,YES,FALSE,1496
20210928,101,learn,19,281.4707,in,12.9,u,YES,TRUE,360
20210928,101,learn,20,249.3927,out,10.42,u,YES,FALSE,722
20210928,101,learn,21,233.9515,in,9.11,i,NO,FALSE,184
20210928,101,learn,22,414.4426,out,20.83,u,YES,FALSE,1034
