sub_n,trial_num,line1,line2,line3,trial_type,choice_set,target,decoy,competitor,choice
205,279,284.2147464507584,281.9019219129183,167.67461245707202,filler_sample,trinary,NA,NA,NA,167.67461245707202
206,279,209.06223415801503,297.75066401073735,NA,filler_sample,binary,NA,NA,NA,297.75066401073735
207,279,208.5062,323.4616,198.5774,attraction,trinary,198.5774,208.5062,323.4616,208.5062
100,280,276.3502043733782,198.1945513213413,247.7084926825967,filler_sample,trinary,NA,NA,NA,198.1945513213413
103,280,202.23128043406712,304.8040247263515,227.34262272856483,filler_sample,trinary,NA,NA,NA,202.23128043406712
104,280,339.6347,198.5774,NA,attraction,binary,198.5774,NA,339.6347,339.6347
105,280,305.0040534937813,247.66811569534516,248.801950511501,filler_sample,trinary,NA,NA,NA,248.801950511501
106,280,283.13761832220126,165.57842726371535,NA,filler_sample,binary,NA,NA,NA,165.57842726371535
107,280,198.5774,339.6347,NA,attraction,binary,339.6347,NA,198.5774,198.5774
108,280,189.1213,323.4616,198.5774,attraction,trinary,189.1213,198.5774,323.4616,323.4616
109,280,356.6164,208.5062,NA,attraction,binary,356.6164,NA,208.5062,356.6164
111,280,310.2095083018594,237.27879969302776,162.49059581547297,filler_sample,trinary,NA,NA,NA,162.49059581547297
112,280,158.97270533172014,287.1428168578529,NA,filler_sample,binary,NA,NA,NA,158.97270533172014
113,280,198.5774,323.4616,NA,attraction,binary,323.4616,NA,198.5774,323.4616
114,280,323.4616,308.0587,198.5774,attraction,trinary,323.4616,308.0587,198.5774,323.4616
115,280,250.16363190729527,265.90422981992236,266.4698825465063,filler_sample,trinary,NA,NA,NA,250.16363190729527
116,280,345.9132122624799,226.00891469369697,NA,filler_sample,binary,NA,NA,NA,345.9132122624799
117,280,448.4424,268.7859,NA,filler_easy,binary,NA,NA,NA,448.4424
118,280,160.728371366018,275.7355761327413,NA,filler_sample,binary,NA,NA,NA,275.7355761327413
