date,sub_n,screen_id,trial_type,trial_num,exp_trial_type,trial_index,time_elapsed,give_fb,fb_in_cat,in_cat,distribution,stim,stim_vals,line_length,jnds,dens,rt,key_choice,choice,correct
20211207,203,learn_trial,categorize-lines-2,1,learning,7,295668,TRUE,in,in,in,,[172.2094],172.2094,2.83,0.0444,3235,u,YES,1
20211207,204,learn_trial,categorize-lines-2,1,learning,7,150488,TRUE,in,in,in,,[257.4286],257.4286,11.07,0.0444,4794,u,YES,1
20211207,205,learn_trial,categorize-lines-2,1,learning,7,207693,TRUE,out,out,out,,[249.5144],249.5144,10.43,0.1659,7150,i,NO,1
20211208,206,learn_trial,categorize-lines-2,1,learning,7,199579,TRUE,out,out,out,,[264.3011],264.3011,11.61,0.1751,3543,u,YES,0
20211208,207,learn_trial,categorize-lines-2,1,learning,7,164206,TRUE,in,in,in,,[189.4907],189.4907,4.79,0.0444,4132,u,YES,1
20211110,100,learn_trial,categorize-lines-2,2,learning,8,353040,TRUE,out,out,out,,[278.7375],278.7375,12.7,0.1441,1552,u,YES,0
20211110,101,learn_trial,categorize-lines-2,2,learning,8,373590,TRUE,out,out,out,,[275.2239],275.2239,12.44,0.1542,7784,i,NO,1
20211110,102,learn_trial,categorize-lines-2,2,learning,8,344474,TRUE,out,out,out,,[272.6843],272.6843,12.25,0.1606,1532,u,YES,0
20211110,103,learn_trial,categorize-lines-2,2,learning,8,191920,TRUE,out,out,out,,[319.0728],319.0728,15.47,0.0305,632,u,YES,0
20211110,104,learn_trial,categorize-lines-2,2,learning,8,399434,TRUE,in,in,in,,[157.5],157.5,1,0.0444,2446,u,YES,1
20211110,105,learn_trial,categorize-lines-2,2,learning,8,99319,TRUE,in,in,in,,[223.4641],223.4641,8.17,0.0444,973,u,YES,1
20211112,106,learn_trial,categorize-lines-2,2,learning,8,247308,TRUE,in,in,in,,[188.2927],188.2927,4.66,0.0444,1470,i,NO,0
20211112,107,learn_trial,categorize-lines-2,2,learning,8,210318,TRUE,out,out,out,,[306.8586],306.8586,14.67,0.0559,1758,i,NO,1
20211115,108,learn_trial,categorize-lines-2,2,learning,8,311382,TRUE,in,in,in,,[318.7615],318.7615,15.45,0.0444,2222,u,YES,1
20211115,109,learn_trial,categorize-lines-2,2,learning,8,200734,TRUE,out,out,out,,[235.0957],235.0957,9.21,0.1176,1734,i,NO,1
20211115,111,learn_trial,categorize-lines-2,2,learning,8,217991,TRUE,out,out,out,,[260.715],260.715,11.33,0.1772,3336,i,NO,1
20211115,112,learn_trial,categorize-lines-2,2,learning,8,193492,TRUE,in,in,in,,[348.1918],348.1918,17.26,0.0444,3078,i,NO,0
20211116,113,learn_trial,categorize-lines-2,2,learning,8,227688,TRUE,out,out,out,,[286.1789],286.1789,13.24,0.1199,1178,u,YES,0
20211116,114,learn_trial,categorize-lines-2,2,learning,8,183066,TRUE,out,out,out,,[275.2239],275.2239,12.44,0.1542,5376,i,NO,1
20211116,115,learn_trial,categorize-lines-2,2,learning,8,186613,TRUE,out,out,out,,[245.1701],245.1701,10.07,0.1545,3229,i,NO,1
20211116,116,learn_trial,categorize-lines-2,2,learning,8,198368,TRUE,in,in,in,,[176.8932],176.8932,3.38,0.0444,3109,i,NO,0
20211116,117,learn_trial,categorize-lines-2,2,learning,8,197378,TRUE,out,out,out,,[220.3246],220.3246,7.88,0.0578,1164,u,YES,0
20211116,118,learn_trial,categorize-lines-2,2,learning,8,227746,TRUE,in,in,in,,[160.2908],160.2908,1.36,0.0444,1368,u,YES,1
