distribution,jnds,dens,line_len,prob_in,optimal_rsp,optimal_prob
out,9.21,0.1175501299699515,235.09570959361872,0.27435761108116974,out,0.765
in,7.02,0.04444444444444444,211.2711219002411,0.5947297246308759,in,0.765
out,9.85,0.14610227000170872,242.5525556352168,0.23324697344495046,out,0.765
in,7.57,0.04444444444444444,217.01724856556964,0.4884705077673565,out,0.765
out,9.95,0.15005074285904849,243.73886519471975,0.22851179538490446,out,0.765
in,8.620000000000001,0.04444444444444444,228.4246757171531,0.3317021530796161,out,0.765
out,11.24,0.17730603065020242,259.57267971387273,0.20042547564091936,out,0.765
in,7.37,0.04444444444444444,214.90988570828236,0.5257789185420239,in,0.765
out,11.18,0.17722199437917677,258.8139152436035,0.20050145922093623,out,0.765
in,7.44,0.04444444444444444,215.64512473112444,0.5125078289061911,in,0.765
out,11.16,0.17716599232742264,258.5614869555283,0.2005521269298205,out,0.765
in,7.57,0.04444444444444444,217.01724856556964,0.4884705077673565,out,0.765
out,10.09,0.15524248866177545,245.40945257017128,0.22257061968497968,out,0.765
in,8.17,0.04444444444444444,223.4641358898801,0.3901411981086879,out,0.765
out,9.86,0.14650541811691062,242.67092629958097,0.23275452439859062,out,0.765
in,7.31,0.04444444444444444,214.2816763537201,0.537317458951869,in,0.765
out,9.72,0.14070803965098055,241.01898102355585,0.2400423880974689,out,0.765
in,8.43,0.04444444444444444,226.31693362269343,0.35474991111446746,out,0.765
out,9.24,0.11896922909519372,235.44007230283236,0.2719750647650905,out,0.765
in,8.59,0.04444444444444444,228.09057396713308,0.33518583486136,out,0.765
out,9.88,0.14730632518155115,242.9078409584991,0.2317823523270966,out,0.765
in,10.94,0.04444444444444444,255.8009722887204,0.20194924816897858,out,0.765
out,9.43,0.12783450345360048,237.6327803038281,0.257979544144574,out,0.765
in,9.64,0.04444444444444444,240.08006615584628,0.24459740037153901,out,0.765
out,10.62,0.1704917831450213,251.83820497816131,0.20677968038656835,out,0.765
in,11.07,0.04444444444444444,257.4286029221013,0.200937197816919,out,0.765
out,9.88,0.14730632518155115,242.9078409584991,0.2317823523270966,out,0.765
in,9.23,0.04444444444444444,235.32522872349884,0.27276388696830517,out,0.765
out,9.11,0.1127960059311119,233.95146742499193,0.2826527419521657,out,0.765
in,10.42,0.04444444444444444,249.39271051758377,0.21154999812615327,out,0.765
out,10.82,0.1740992213734822,254.3076794626309,0.2033664269248236,out,0.765
in,9.89,0.04444444444444444,243.02638500945008,0.23130259895910218,out,0.765
out,9.14,0.11422538096022238,234.29415407497905,0.2801064684548222,out,0.765
in,9.52,0.04444444444444444,238.67854747798532,0.25198526349857286,out,0.765
out,10.35,0.16367571174838827,248.5424095751743,0.21355185032277538,out,0.765
in,10.05,0.04444444444444444,244.93097692096256,0.2241880567619962,out,0.765
out,10.14,0.15699252833227265,246.008861778728,0.22063697558495832,out,0.765
in,10.99,0.04444444444444444,256.425762641096,0.20149597700471522,out,0.765
out,9.1,0.1123190961320689,233.8373499612712,0.2835126348958159,out,0.765
in,9.15,0.04444444444444444,234.40849446855628,0.2792687830585618,out,0.765
out,9.78,0.14323188360869513,241.72557610477097,0.23681433298215548,out,0.765
in,13.12,0.04444444444444444,284.50824903572436,0.2614831073540736,out,0.765
out,13.36,0.11422538096022238,287.85931966250365,0.2801064684548222,out,0.765
in,11.8,0.04444444444444444,266.76262854099934,0.20525461013549715,out,0.765
out,11.47,0.1764622294374109,262.501941217768,0.2011910444508077,out,0.765
in,12.28,0.04444444444444444,273.08374601337357,0.21774316634824134,out,0.765
out,12.12,0.1645363547501552,270.96023717688036,0.21267238241853248,out,0.765
in,12.4,0.04444444444444444,274.6872917643518,0.22217609812265554,out,0.765
out,11.4,0.17691420200944696,261.6069445374779,0.20078025031519217,out,0.765
in,12.24,0.04444444444444444,272.5513136995664,0.21638694433334163,out,0.765
out,12.03,0.16696733825471696,269.7730281690512,0.21022690351979487,out,0.765
