distribution,jnds,dens,line_len,prob_in,optimal_rsp,optimal_prob
out,7.37,0.04444444444444444,214.90988570828236,0.5842529080694336,in,0.685
in,11.16,0.10635397375147285,258.5614869555283,0.7058341109979641,in,0.685
out,7.44,0.04444444444444444,215.64512473112444,0.5888943075813283,in,0.685
in,10.09,0.10141462892611854,245.40945257017128,0.6958643298152687,in,0.685
out,7.57,0.04444444444444444,217.01724856556964,0.5972492936239508,in,0.685
in,9.86,0.09932169404281492,242.67092629958097,0.6914330508409402,in,0.685
out,8.17,0.04444444444444444,223.4641358898801,0.631400612089957,in,0.685
in,9.72,0.09788848335516868,241.01898102355585,0.6883233376239651,in,0.685
out,7.31,0.04444444444444444,214.2816763537201,0.5801950547307857,in,0.685
in,9.24,0.09214955967880066,235.44007230283236,0.6752168968056024,in,0.685
out,8.43,0.04444444444444444,226.31693362269343,0.644001005976905,in,0.685
in,9.88,0.09951682084278596,242.9078409584991,0.6918516350174073,in,0.685
out,8.59,0.04444444444444444,228.09057396713308,0.6511158112744215,in,0.685
in,9.43,0.09456492953326208,237.6327803038281,0.6808650701901687,in,0.685
out,10.94,0.04444444444444444,255.8009722887204,0.7051840344030347,in,0.685
in,10.62,0.10489385203238127,251.83820497816131,0.7029556571648943,in,0.685
out,9.64,0.04444444444444444,240.08006615584628,0.6864039968107103,in,0.685
in,9.88,0.09951682084278596,242.9078409584991,0.6918516350174073,in,0.685
out,11.07,0.04444444444444444,257.4286029221013,0.7056546847764463,in,0.685
in,9.11,0.09039877203054146,233.95146742499193,0.6709961973444534,in,0.685
out,9.23,0.04444444444444444,235.32522872349884,0.6749025867902806,in,0.685
in,10.82,0.10568750601511162,254.3076794626309,0.7045272013703535,in,0.685
out,10.42,0.04444444444444444,249.39271051758377,0.7007831975699784,in,0.685
in,9.14,0.09080951009994384,234.29415407497905,0.6719962004755724,in,0.685
out,9.89,0.04444444444444444,243.02638500945008,0.6920585357615511,in,0.685
in,10.35,0.10336443070000376,248.5424095751743,0.6998795559604644,in,0.685
out,9.52,0.04444444444444444,238.67854747798532,0.6833283722398951,in,0.685
in,10.14,0.10182472021182698,246.008861778728,0.696717727647368,in,0.685
out,10.05,0.04444444444444444,244.93097692096256,0.6951535148029239,in,0.685
in,9.1,0.09026098887960168,233.8373499612712,0.6706593765130413,in,0.685
out,10.99,0.04444444444444444,256.425762641096,0.7053946620968584,in,0.685
in,9.78,0.098516978688445625,241.72557610477097,0.6896946997335586,in,0.685
out,9.15,0.04444444444444444,234.40849446855628,0.6723260557075162,in,0.685
in,13.36,0.09080951009994384,287.85931966250365,0.6719962004755724,in,0.685
out,13.12,0.04444444444444444,284.50824903572436,0.6794379739530273,in,0.685
in,11.47,0.1062016894534899,262.501941217768,0.7055365092324782,in,0.685
out,11.8,0.04444444444444444,266.76262854099934,0.7036560352153803,in,0.685
in,12.12,0.10355976708468878,270.96023717688036,0.7002759771761538,in,0.685
out,12.28,0.04444444444444444,273.08374601337357,0.6980024049308159,in,0.685
in,11.4,0.10629953445456136,261.6069445374779,0.7057277920484447,in,0.685
out,12.4,0.04444444444444444,274.6872917643518,0.6960381265044587,in,0.685
in,12.03,0.1041080087391894,269.7730281690512,0.701383020687246,in,0.685
out,12.24,0.04444444444444444,272.5513136995664,0.698607650977235,in,0.685
in,12.83,0.0973487622111906,280.5110450248125,0.6871359679160457,in,0.685
out,13,0.04444444444444444,282.8473713484855,0.6827926345897614,in,0.685
in,12.7,0.09872175625256746,278.73747221782253,0.6901389167710382,in,0.685
out,11.36,0.04444444444444444,261.09688858276974,0.7058045802037461,in,0.685
in,11.33,0.10636040245261838,260.7149993357941,0.7058466610619738,in,0.685
out,11.9,0.04444444444444444,268.067348070866,0.7027655594672537,in,0.685
in,11.25,0.10638460810704872,259.69935655084953,0.7058939055607156,in,0.685
out,12.98,0.04444444444444444,282.571502573544,0.6833283722398951,in,0.685
in,13.23,0.0925425839672246,286.03928629609237,0.6761495366170539,in,0.685
out,12.41,0.04444444444444444,274.8213448446559,0.6958643298152687,in,0.685
in,13.24,0.09241204712038031,286.1788793845447,0.6758403695830527,in,0.685
out,14.67,0.04444444444444444,306.85858382741816,0.6129317085114377,in,0.685
in,13.48,0.08914343338721913,289.54962747343313,0.6679017362206564,in,0.685
out,13.7,0.04444444444444444,292.6743458287137,0.659732451518514,in,0.685
in,12.01,0.10422208102582932,269.5099111584937,0.7016123355061109,in,0.685
out,15.45,0.04444444444444444,318.7615498099256,0.5617640315830847,in,0.685
in,12.44,0.10116073460343764,275.22389673734693,0.6953335656805353,in,0.685
out,14.37,0.04444444444444444,302.3997910131306,0.6293460492320342,in,0.685
in,11.32,0.10636607515868668,260.5878270859014,0.7058577343885164,in,0.685
out,15.23,0.04444444444444444,315.3583131414419,0.5774490448109597,in,0.685
in,11.96,0.10449480426739864,268.85324081996333,0.7021591548648509,in,0.685
out,14.83,0.04444444444444444,309.2634271398558,0.6034426081423947,in,0.685
in,13.29,0.09175233221008865,286.8778673566909,0.6742688087883755,in,0.685
out,15.31,0.04444444444444444,316.59162923304984,0.5718592327506415,in,0.685
in,11.61,0.10589551556753772,264.3011308081502,0.704936342478391,in,0.685
out,14.27,0.04444444444444444,300.9279709052296,0.6344240430240877,in,0.685
in,11.33,0.10636040245261838,260.7149993357941,0.7058466610619738,in,0.685
out,14.36,0.04444444444444444,302.25228564562883,0.629862619097191,in,0.685
in,12.18,0.10316286012815926,271.7546110057837,0.6994693820408526,in,0.685
out,14.52,0.04444444444444444,304.6210295104336,0.6213617985556862,in,0.685
in,12.9,0.0965693019768246,281.47071547440925,0.6854051241967256,in,0.685
out,17.49,0.04444444444444444,352.12114045758085,0.37544588873730167,out,0.685
in,13.4,0.09026098887960168,288.4216563525694,0.6706593765130413,in,0.685
out,15.87,0.04444444444444444,325.36095586554217,0.5291201042353744,in,0.685
in,12.65,0.09922321577562072,278.0583186035618,0.691221364098702,in,0.685
out,17,0.04444444444444444,343.8027476701551,0.4255498628423342,out,0.685
in,13.67,0.08638666729953041,292.24627031182683,0.66089760967267,in,0.685
out,16.52,0.04444444444444444,335.8446850352531,0.47204007220429994,out,0.685
in,14.38,0.0750929503035938,302.5473683663028,0.6288275235147502,in,0.685
out,16.06,0.04444444444444444,328.39111791128084,0.5132237890264614,in,0.685
in,14.8,0.06796358295261355,308.81108786477444,0.605261122152326,in,0.685
out,16.7,0.04444444444444444,338.80713958996466,0.45498112171113636,out,0.685
in,15.2,0.06108738317902278,314.8970592774576,0.5795116098794779,in,0.685
out,16.66,0.04444444444444444,338.14656615086494,0.4588137407460604,out,0.685
in,15.21,0.06091581967707093,315.0507355560495,0.5788261264751152,in,0.685
out,17.26,0.04444444444444444,348.19181750985297,0.3992128834964943,out,0.685
in,14.44,0.07408729179902954,303.43434615292506,0.6256751946923961,in,0.685
out,17.44,0.04444444444444444,351.26318496527983,0.38064160339678266,out,0.685
in,15.52,0.05563319285414656,319.8520809859553,0.5565676551888865,in,0.685
out,16.82,0.04444444444444444,340.79661262533153,0.4433485138022602,out,0.685
in,14.02,0.08098360150110627,297.27968492088945,0.6462761032802521,in,0.685
out,20.21,0.04444444444444444,402.0934450422493,0.12143267940050077,out,0.685
in,13.82,0.0841179530548614,294.3929274379281,0.654907949061954,in,0.685
out,18.52,0.04444444444444444,370.2687652513666,0.2682165737735378,out,0.685
in,14.5,0.07307639130587425,304.3239242913474,0.6224520055331982,in,0.685
out,19.87,0.04444444444444444,395.4782753605408,0.1459893688861426,out,0.685
in,14.32,0.07609277733957881,301.6629833303166,0.6319093771198402,in,0.685
out,19.64,0.04444444444444444,391.0651297576308,0.16419976860007887,out,0.685
in,13.52,0.08857473718254427,290.115266200413,0.6664806363538426,in,0.685
out,18.38,0.04444444444444444,367.7482171702934,0.28251713967992964,out,0.685
in,15.47,0.05647925204339654,319.07275018732963,0.5602894430744093,in,0.685
out,19.1,0.04444444444444444,380.896402891791,0.21156831093851905,out,0.685
in,14.67,0.07018881064423389,306.85858382741816,0.6129317085114377,in,0.685
out,18.35,0.04444444444444444,367.21033603929226,0.2856040044940975,out,0.685
in,15.3,0.05937426633380296,316.4372013332767,0.5725650849326737,in,0.685
