exp_trial_type,trial_type,set_type,set,difficulty_level,stim_1_psy,stim_2_psy,stim_3_psy,stim_correct_1,stim_correct_2,side_correct,exp_condition,stim_1_phy,stim_2_phy,stim_3_phy
transfer,filler,trinary,NA,NA,8.390217947418758,5.942907377611846,5,8.390217947418758,0,long,left,226,200,191
transfer,filler,trinary,NA,NA,11.83609528635886,15.020702904439531,21,11.83609528635886,0,long,left,267,312,418
transfer,filler,trinary,NA,NA,10.062996056050542,2.4959196138661355,11,10.062996056050542,0,long,left,245,169,257
transfer,filler,trinary,NA,NA,9.232958076801571,20.141222843667492,2,9.232958076801571,0,long,left,235,401,165
transfer,filler,trinary,NA,NA,6.060867203340779,0.4888625058811158,19,6.060867203340779,0,short,left,202,154,379
transfer,filler,binary,NA,NA,5.158381653481423,2.6258213486289605,NA,5.158381653481423,0,short,left,193,171,NA
transfer,filler,binary,NA,NA,8.679210194719555,19.694879207527265,NA,8.679210194719555,0,long,left,229,392,NA
transfer,filler,binary,NA,NA,6.215048890455943,13.076051014359109,NA,6.215048890455943,0,short,left,203,284,NA
transfer,filler,binary,NA,NA,7.6608377207393055,5.025345634203404,NA,7.6608377207393055,0,long,left,218,192,NA
transfer,filler,binary,NA,NA,10.48978476824527,9.095668499940075,NA,10.48978476824527,0,long,left,250,234,NA
transfer,filler,binary,NA,NA,7.365965688412891,6.259801906999201,NA,7.365965688412891,0,short,left,215,204,NA
transfer,filler,binary,NA,NA,2.7015017182121728,11.784537424100563,NA,2.7015017182121728,0,short,left,171,267,NA
transfer,filler,binary,NA,NA,6.557605040797651,10.114881485933438,NA,6.557605040797651,0,short,left,207,246,NA
transfer,filler,binary,NA,NA,8.428297551202068,9.388482722570188,NA,8.428297551202068,0,long,left,226,237,NA
transfer,filler,binary,NA,NA,8.0952781966490015,6.012441776110791,NA,8.0952781966490015,0,long,left,223,201,NA
transfer,filler,binary,NA,NA,5.942925932172275,7.763479906716384,NA,5.942925932172275,0,short,left,200,219,NA
transfer,filler,binary,NA,NA,9.26668875599818,14.257775298901834,NA,9.26668875599818,0,long,left,236,301,NA
